Number of hit	Text ID	Context before	Query item	Context after
81	9934664	space ( Aim 2 ) , as well as explore	novel	plasma measures for manifestations of these stages ( exploratory Aim
82	9926695	pharmacokinetic ( PK ) and safety study to evaluate a	novel	pediatric cotreatment strategy . For children 3 years of
83	9937101	seminars and retreats featuring experts in the field who bring	novel	ideas and fresh approaches to cancer problems is also a
84	9370205	analysis of brains at the cell and tissue level using	novel	genetic & imaging methods . This phase will require training
85	9370205	established to serve in this role . Secondly , a	novel	nuclear function for Asp & WDR62 will be investigated as
86	9937387	in behavioral variant frontotemporal dementia and primary progressive aphasia .	Novel	bioinformatics approaches will be applied to scRNAseq datasets to identify
87	9937390	denser in deeper laminae and has greater WM pathology .	Novel	, pathology - guided , cortical laminar features , combined
88	9937391	of lifestyle , genetic and imaging factors will lead to	novel	predictive models of clinical disease progression that are critical for
89	9882390	diabetic alteration of Exo-mediated ADp to heart communication is a	novel	mechanism exacerbating post -MI cardiac remodeling . Three specific aims
90	9882390	genetic and pharmacologic approaches , we will rigorously test a	novel	hypothesis that Cav3 / AdipoR1 signaling complex integrity is critical
91	9882390	hypothesis that interventions blocking Exo mediated ADp -CM communication are	novel	therapy against diabetic exacerbation of post -MI remodeling and HF
92	9881769	reductions , thereby limiting the efficacy . We have developed	novel	bi-specific anti-CD70 - VEGF trap fusion antibodies ( FA )
93	9881769	approaches . The proposed studies will test the hypothesis that	novel	bi-specific anti-CD70 - VEGF trap FA have two major advantages
94	9882072	are largely undefined . Recently , we identified miR-223 as	novel	regulator of hemogenic endothelial cells in zebrafish . Zebrafish and
95	9882072	of hematopoiesis . While our studies establish miR-223 as a	novel	regulatory factor of hemogenic endothelial cell development and HSPC generation
96	9953456	mentorship team includes senior level intervention researchers with expertise in	novel	methodologies applicable to suicide prevention : Drs. David Goldston ,
97	9953456	. The proposed study aims to develop and refine a	novel	Virtual Reality ( VR ) supplement for inpatient treatment :
98	9953312	- 2 - hybrid assay , we have discovered a	novel	RBPJ - interacting protein in Sertoli cells , called BHC80
99	9953312	produce the floxed Phf21a mouse , we will employ a	novel	CRISPR / Cas9 technique called DECAI , which is predicted
100	9953870	this proposal ( K99 ) will employ a depletion and	novel	? add - back ? approach of embryonic microglia from
101	9952020	converge on the mitochondria to produce excitotoxic necrosis , two	novel	effects are particularly important : 1 ) we identify a
102	9952020	necrosis by ferroptosis . Finally , we suggest that additional	novel	mechanisms could be identified by an unbiased screen designed to
103	9952020	on progress in the previous aims , we will characterize	novel	mutants that show suppressed or enhanced excitotoxic necrosis . We
104	9952020	or enhanced excitotoxic necrosis . We will illuminate conserved ,	novel	, and non-immediate mechanisms of neuronal damage in excitotoxicity .
105	9952020	concerted effort to find new intervention strategies . We illuminate	novel	non-immediate mechanisms in stroke- related excitotoxicity and address core processes
106	9952020	of death and disability , pressing the need to find	novel	intervention strategies in a clinically feasible time - frame .
107	9951859	trial , we will also evaluate the capacity of a	novel	culture technique , termed organoids , to provide clinically -
108	9951859	will pursue didactic coursework in the design and conduct of	novel	translational research and clinical trials . To reach independence as
109	9927247	in vivo . The experiments in this grant use a	novel	photo-activation complex based on the intrinsically photo-cleavable protein , PhoCl
110	9927247	in vivo . We will use this complex to develop	novel	light - activatable systems for mediating transcription and for ablating
111	9927247	or inhibitory synapses . The latter application is based on	novel	technology that we previously developed that uses E3 ligases targeted
112	9934533	) and their remnant lipoprotein particles ( RLPs ) .	Novel	strategies to enhance TRL clearance have therefore recently generated significant
113	9934534	risk of CVD . Inhibiting ANGPTL3 recently emerged as a	novel	therapeutic approach for reducing both LDL - C and TRLs
114	9934534	, these observations suggest that ANGPTL3 may be working through	novel	intracellular and extracellular pathways that are yet to be discovered
115	9934535	. Both atherogenesis and regression will be studied using a	novel	method we developed to delete and then replenish LDL receptors
116	9926399	response to the graft . Improving patient outcomes will require	novel	therapeutic agents that inhibit components of the recipient ? s
117	9433259	? I propose to tackle these important questions using a	novel	approach founded on principles of protein folding . My work
118	10005604	40 years . The combination of quantitative PET systems with	novel	radiotracers has led to a numerous imaging para - digms
119	10005604	- art motion tracking cameras and will be tested using	novel	phantom experiments to assess the full - range of operation
120	10005604	for Fully -Quantitative Brain PET . We will develop the	novel	algorithms for this system . Using EXPLORER experience . we
121	10012880	term . We plan in this proposal to exploit a	novel	application of hair analysis by segmenting one half of each
122	10012880	line therapy globally is dolutegravir ) . Moreover , the	novel	design of this relatively low - cost proposal , leveraging
123	10013894	the proposed project are to develop and pilot test a	novel	intervention aimed at initiating and maintaining higher levels of physical
124	10013894	. The proposed work is innovative because it is a	novel	combination of GET , motivational interviewing , and mHealth to
125	10012561	The training acquired by Dr. Willie via this timely and	novel	project , courses , workshops , conferences , manuscript and
126	10015539	better understanding of the mechanisms leading to HFpEF and identifying	novel	targeted treatments that can prevent or reverse interstitial fibrosis to
127	10010630	approach and goals are feasible : we have 3 independent	novel	chemical scaffolds that are potent activators of Kv7.2/7.3 whose activity
128	10010631	a medical device company that was established to commercialize the	novel	TetraniteÆ ( ? TN ? ) wet-field bone adhesive product
129	10010631	Direct-to - Phase II SBIR project is to develop a	novel	delivery kit for TN that will allow for its eventual
130	10015409	her strong academic trajectory and uniquely position her for a	novel	, research focused career with training well outside of the
131	10010286	are important for bradyzoite survival inside cysts , such that	novel	therapeutics can be designed to target these proteins . Toxoplasma
132	10010286	this R21 , our expected outcomes are to have identified	novel	Toxoplasma proteins that are important for viability of bradyzoites inside
133	9647099	the molecular mechanisms controlling lung inflammation in order to design	novel	therapeutic strategies . Recent studies have demonstrated the importance of
134	10005827	its safety and efficacy in vivo in swine . The	novel	access e-needle will be used under ultrasound guidance to simultaneously
135	10005827	as histopathology after explanting the swine radial artery . Our	novel	approach to RAS promises to shift the current clinical paradigm
136	10005827	improve patient care and save time for physicians with a	novel	TRA e-needle that dilates the artery it contacts the vessel
137	10006671	cost methods to screen sequence - specific small molecules for	novel	anti-ribosomal activities . We will construct sequence - specific chemically
138	10005651	the efficacy and safety of rhMFG - E8 as a	novel	radiation MCM targeting GI - ARS and combined GI -
139	9994511	deeper understanding of the pathogenesis of fibrosis and have revealed	novel	drug targets that are at various stages of clinical development
140	10010238	to identify , characterize , and validate the efficacy of	novel	antiviral proteins from diverse non- model mammalian species . State-of-
141	10011001	efforts for HIV and its co-occurring conditions , and use	novel	prevention tools to avert further transmissions , are of critical
142	10009545	as therapeutics . We have previously developed a library of	novel	aminoglycoside - derived polymer nanoparticles capable of simultaneously delivering nucleic
143	10009545	and Arizona State University ( ASU ) will screen a	novel	biocompatible polymer nanoparticle library for the targeted co-delivery of therapeutic
144	10135597	) domain . Here , we will utilize existing and	novel	ABPs to evaluate PBP activity through the process of cell
145	10135597	the library of PBP - selective ABPs utilizing known and	novel	electrophilic scaffolds , in combination with protein crystallography and molecular
146	9599233	identified interferon regulatory factor 1 ( IRF1 ) as a	novel	player that is required for NLRP3 inflammasome activation . Of
147	10009501	to both optimize treatment pathways and drive the development of	novel	pharmacological and non - pharmacological interventions . Alto does this
148	9998391	interventions . Here we propose the development and validation of	novel	multi-sequence capture beads that can be employed with the estab
149	10012894	well as an approach to mentorship across differences . Using	novel	applications of the framework of intersectionality , Dr. Jae Sevelius
150	10012958	than current urine drug screens [ 4 ] . A	novel	, minimally invasive , biosensor - based approach constitutes an
151	10013513	and minority stress to epidemiological and intervention research may provide	novel	insights and tools to support the health of this vulnerable
152	10013513	Dr. Jackson will put these aims into practice via three	novel	, interrelated research projects , in which he will :
153	10011619	while reducing cost and time . INanoBio is developing a	novel	fully depleted exponentially coupled ( FDEC ) field effect transistor
154	10011621	our Phase I study , Enable Biosciences created a highly	novel	allergy immune test based on Isotype-Specific Agglutination - PCR (
155	10009878	to complete the preclinical development of Elex Biotech ? s	novel	compounds that target and treat the underlying molecular cause of
156	10009878	the goal of this program . To advance its targeted	novel	therapeutic IND - enabling ( GLP ) studies , the
157	9526727	Tyrosine Ligase - Like 5 ( TTLL5 ) recognizes a	novel	non-tubulin target ( RPGR - ORF15 , the most commonly
158	10005845	protein . Muscle mass will be directly measured using a	novel	tracer-dilution technique using 2 H3 - creatine . Fat mass
159	10005845	protein . Muscle protein FSR will be measured by the	novel	? virtual biopsy ? method , which provides an integrated
160	10005850	of radiotherapy induced hematologic toxicity will allow the development of	novel	strategies to predict , prevent and ameliorate this phenomenon and
161	10005850	treatment associated hematologic toxicity is the first step in developing	novel	therapies that are personalized according to an individual ? s
162	10006640	. Results of this work will inform the development of	novel	treatment strategies for AA . ABSTRACT Chronotype , or morningness
163	10011222	and promote adoption during commercialization . This project uses a	novel	approach in that it develops rehabilitation games specifically designed for
164	10011222	. The use of sensors for remote monitoring is also	novel	in this area and allows patients to perform rehabilitation at
165	10015750	. The overall objectives of this proposal are to evaluate	novel	therapeutic strategies that rationally target prion malleability , and to
166	9997062	high significance . It has led to the identification of	novel	therapeutic targets and biomarkers . Among chromatin remodeling complexes ,
167	9997062	for MLL1 enzymatic activity . Here we show that a	novel	function of ASH2L in MLL1 regulation and a previously uncharacterized
168	9997062	modifying enzymes . Our study will ultimately benefit discovery of	novel	therapeutic targets or biomarkers for cancer diagnosis and treatment .
169	10012578	HIV - 1 Env production . We have developed a	novel	qPCR - based approach to quantitatively measure the singly spliced
170	10012578	/ env mRNA . We propose to study whether this	novel	approach can faithfully monitor induction of HIV - 1 Env
171	10013623	mid-American States ? ( EPIMAS ) science education initiative with	novel	NIDA Epidemiology Branch - focused clinical research training plan that
172	10013801	have not been well explored . The candidate has generated	novel	preliminary data to show an increased prevalence of obesity in
173	10013801	and clinical investigator at Harvard Medical School dedicated to identifying	novel	mechanisms and treatment strategies for metabolic disease . Her work
174	10013691	virus nuclear entry and integration site preference . By developing	novel	tools to track single viral complexes that establish infection ,
175	10013749	Summary The overall goal of this proposal is to identify	novel	? water -soluble ? neurosteroid anticonvulsants that will control benzodiazepine
176	10013749	stop seizures , reducing the further brain damage . This	novel	therapy is based on the molecular mechanisms of neurosteroids and
177	10013749	dysfunction . The outcome from this project will identify a	novel	adjunct anticonvulsant to midazolam for OP intoxication and that the
178	10012568	visits to a rehabilitation center . The recent development of	novel	powered exoskeletons offers a potential mechanism for stroke survivors to
179	10012568	being developed . The Keeogo powered orthotic exoskeleton is a	novel	device intended for persons with stroke who can ambulate but
180	10009727	of all classes of variants from haplotype phased sequences .	Novel	adaptions to core XNG components will partition reads matching the
181	10009727	. Reference - based alignments will be phased using a	novel	Bayesian classifier to produce two haplotype sequences prior to SNV
182	10010629	a decade of experience with protein micropatterning , microfluidics ,	novel	fluorescent biosensors , and patient blood testing , the team
183	9818152	allowing detailed study of network mechanisms in dystonia and suggesting	novel	therapeutic approaches . More generally , this model will improve
184	9813424	. The rationale for the proposed research is that identifying	novel	conserved adhesin / host cell interactions will allow for the
185	9813424	immunogenicity . This contribution is significant because it will identify	novel	targets that can be exploited to prevent pneumococcal colonization in
186	9813424	in the field . The streamlined workflow of developing a	novel	vaccine using reverse vaccinology and biomedical technologies will engage undergraduate
187	10140568	alcohol consumption in AD mice . These experiments will provide	novel	insight on the role of alcohol - mediated inflammasome activation
188	10145138	1 . Development of minimal human virome serologic assays Two	novel	sample sparing serologic assays are proposed : 1 ) a
189	10145508	- term goal is to lay the groundwork for developing	novel	nanoplatform based device which will provide a more accurate determination
190	10041188	in a complex associative behavior . This project exploits a	novel	approach for cellular- level imaging in free behavior , and
191	10144160	next 20 years . Mellitus , LLC is developing a	novel	test for screening , diagnosis and monitoring individuals with diabetes
192	10144160	( GDM ) . The test is based on the	novel	biomarker glycated CD59 ( GCD59 ) , which was licensed
193	10144160	and point- of - care assay development to develop a	novel	, easy - to-use , accurate and reliable POC test
194	10146526	, persistence , and progression of allergic disease and provide	novel	insights into a key unanswered question in the allergy field
195	10142137	and these shifts are much more dramatic after burns .	Novel	preliminary data in our clinically - relevant mouse model of
196	10142137	. Our work may also lead to the development of	novel	therapies for the treatment of patients with burns and other
197	10026712	% . Thus , it is very important to identify	novel	adjunct therapeutic agents which can be administered along with anti-seizure
198	10141415	- induced activation of mTORC1 through multiple mechanisms . In	novel	preliminary studies presented herein , I show that the Sestrins
199	10141415	, suppresses glycogen synthesis , and promotes glycogenolysis . In	novel	preliminary studies presented herein , I show a specific interaction
200	10141415	glucose - mediated stimulation of skeletal muscle metabolism will provide	novel	targets for future studies as well as targets for pharmaceutical
201	10057935	1 latent reservoir . This will be explored using a	novel	protein nanoparticle HIV - 1 vaccine that drives both CD4
202	10043364	molecular biochemical , and epidemiological approaches to identify and characterize	novel	POWV nanobodies derived from naturally infected and immunized camelid species
203	9946647	therapeutic strategies , including : ( 1 ) identification of	novel	EcN host strains and mechanistic understanding of their tumor colonization
204	9946647	3 ) bacteria lysis that leads to effective release of	novel	immunotherapeutics and lipopolysaccharides ( LPS ) adjuvant , and (
205	9946647	) adjuvant , and ( 4 ) local delivery of	novel	immunotherapeutic combinations that are toxic to deliver systemically . This
206	9951349	done by utilizing unbiased receptor screening to identify and characterize	novel	neuronal receptors for oligomerized ASC . These set of experiments
207	9951349	release . In Aim 3 , I will investigate the	novel	mechanism by which the E-≠3 ligase Parkin inhibits ASC oligomerization
208	9951349	co-≠mentor Marilyn Albert . All aspects of this project are	novel	and have not been investigated before . This project may
209	9951349	not been investigated before . This project may elucidate a	novel	signaling conduit through which inflammasome activation directly leads to ?
210	10148568	the opportunity to intervene before it becomes invasive . A	novel	approach to cure patients of lung cancer is therefore to
211	10114768	- controlled to release PDF . We will develop a	novel	immunological as well as various genetic and transgenic tools to
212	10142003	The overall goal of this project is to utilize a	novel	psychopathology framework , the Hierarchical Taxonomy of Psychopathology ( HiTOP
213	10142003	highly significant and costly problem ; 2 ) leverages the	novel	HiTOP framework for personalized alcohol treatment recommendations , which is
214	10142003	neurobiological and genetic mechanisms ; and 5 ) integrates a	novel	, well - controlled human laboratory paradigm with ecologically valid
215	10129470	Spinofl / fl ) mice . We will generate a	novel	transgenic mouse line that will be crossed with the iCre
216	9795129	PTSD . Findings from this investigation could stimulate development of	novel	pharmacological modulators of the cannabinoid system to maximize the efficacy
217	10136185	cell cycle arrest . Recently , lab has uncovered a	novel	insight into cell cycle gene control t hat prevents mitotic
218	10138455	interactive public-facing process . 3 . Accelerate the development of	novel	, precision therapeutics by linking patient data with new precision
219	10138458	goal of the Bioinformatics Core is to support development of	novel	mouse models in The Jackson Laboratory ( JAX ) Center
220	10136320	in organizing the barcode . These results suggest an entirely	novel	role for the UPR as a molecular determinant of neuronal
221	10138460	and therefore allow for detailed studies and preclinical testing of	novel	therapeutics . JAX has a long history of developing and
222	10110292	for translational research in NF1 , but also yields a	novel	direction in the ADHD research field by addressing a monogenic
223	10117461	possible to directly and indirectly track neural activity , with	novel	near - infrared calcium ( Ca2 + ) sensors and
224	10144277	microbes . Abstract The pandemic resulting from the emergence of	novel	severe acute respiratory syndrome coronavirus 2 ( SARS - CoV
225	10146064	School . To do so we will 1 ) develop	novel	orientation events that will establish an inclusive culture and community
226	10144865	in neurons and how the parasite can evade surveillance ,	novel	transgenic reporter systems for parasites will be combined with host
227	10146615	infections and ~ 100,000 deaths due to infection with the	novel	Coronavirus SARS - CoV - 2 , a viral pathogen
228	10146615	we will utilize recently acquired banked lung samples from a	novel	rhesus macaque model of SARS - CoV - 2 infection
229	10146616	result , we initiated the Long-term Impact of Infection with	Novel	Coronavirus ( LIINC ) study leveraging our expertise at UCSF
230	10128176	potentiating CAA in AD . This proposal will test this	novel	hypothesis and will also determine how dietary cholesterol modulates brain
231	10128180	diabetes developing after AP will yield great benefit by facilitating	novel	approaches to predict , prevent , and treat this form
232	10128180	obtained during hospitalization for AP as well as CT and	novel	multiparametric MRI scans obtained 1 and 12 months afterward will
233	10136206	with hopes that this knowledge can be used to develop	novel	biomarkers and preventive disease therapies . We hypothesize that altered
234	10136206	altered spliced variants . Furthermore , we will identify potentially	novel	protein products that arise due to the alternative splicing events
235	10136206	propose the following specific aims : Aim 1 . Use	novel	RNA sequencing technologies to identify conserved alternatively spliced transcripts in
236	10136206	Use advanced proteomics and innovative computational approaches to identify candidate	novel	protein products generated from alternative spliced transcripts in T1D b
237	10137772	morbidity and mortality for people with paralysis , so a	novel	device that effectively addresses these issues can reduce healthcare costs
238	10110069	brain . To accomplish our goal we will use two	novel	mouse lines . One mouse line will have ORMDL3 deleted
239	9882310	experimental approach will build on our extensive preliminary data and	novel	resources documenting the in vivo transduction of HSPCs by adeno-associated
240	9979937	?- N-acetylglucosamine ( O- GlcNAc ) has emerged as a	novel	regulator of cytoprotection . Numerous forms of cellular injury ,
241	9979937	Together , these data suggest that O- GlcNAc is a	novel	endogenous cardioprotective agent . To date , the majority of
242	9979937	. This critical insight will provide a framework for investigating	novel	therapeutic targets for myocardial infarction and an understanding about how
243	10117330	relevant to the proposed project , including the development of	novel	antimicrobial susceptibility testing methods and the investigation of new therapeutics
244	10117330	- based dispensing system . She will next develop a	novel	, fluorescent time - kill synergy assay in order to
245	10117356	to clinical efficacy . Here , we propose to develop	novel	strategies for improved VNS via chronic stimulation of specific subsets
246	10117356	changes in cortical microglia . These experiments will support a	novel	research direction to strategies for understanding and treatment of AD
247	10057932	and the staff of the core have helped pioneer various	novel	techniques and findings in these models . In order for
248	10057934	We will utilize cutting edge humanized mouse models , a	novel	barcoded virus reporter system , and several anti-HIV chimeric antigen
249	10146190	to pertinent parts of the university . Project Summary A	novel	pneumonia caused by a previously unknown betacoronavirus emerged in Wuhan
250	10147214	of rhinitis and rhinosinusitis , and open the door for	novel	therapies to treat these highly burdensome chronic diseases . In
251	10147214	receptor defect ( T2R38 ) . We will also use	novel	gene - targeting approaches to interrogate second messenger pathways and
252	10135206	proposed R21 application is to test the ability of a	novel	inhaled formulation of the drug dronabinol ( synthetic THC )
253	10135206	NLX - precipitated withdrawal . The endocannabinoid system is a	novel	target for reducing opioid withdrawal severity . Preclinical studies have
254	10135206	) . This proof-of - concept study may identify a	novel	, more tolerable , emergency pharmacological intervention for opioid overdose
255	10112018	methodology to incorporate these higher - order features to identify	novel	gene regulatory network associations with disease - associated rare variants
256	10114391	proteins ( reader or erasers ) impedes the discovery of	novel	regulation mechanisms by readers and erasers not known up to
257	10142001	enhance CTA extinction . We will also examine if our	novel	rat transcranial alternating current ( tACS ) system , a
258	10143003	will be achieved through innovative methods that combine ERPs with	novel	flanker paradigms and with co-registered eye-movements during natural reading .
259	10139833	there are no treatment options available for WMI . Developing	novel	therapeutics for use in neonates is particularly challenging due to
260	10139833	complications of preterm birth . Tellus Therapeutics has identified a	novel	myelinating compound present in human breastmilk with potential to treat
261	10139833	goal , Aim 1 will be focused on developing a	novel	, lipid emulsion formulation for intravenous delivery and Aim 2
262	9819692	mechanisms of action across mutual help groups , testing a	novel	theory of behavior change ? the Affect , Cognition ,
263	9818791	maintain this valuable resource and position our cohort to examine	novel	scientific questions in the future . The enhanced infrastructure will
264	9813198	in knowledge . Our preliminary results have now identified a	novel	mode of Notch signaling , heterodimerization between different NICD molecules
265	10121547	its efforts on clinician research education . Specifically , on	novel	methods to enhance the safety and efficiency for conducting high
266	10199160	the second half of 2020 and beyond . PROJECT SUMMARY	Novel	severe acute respiratory syndrome coronavirus 2 ( SARS - CoV
267	10207906	established in vitro model for respiratory infections , and a	novel	humanized hAS3MT mouse strain , in which the metabolism of
268	10207906	and 129S6 / SvEvTac backgrounds . The proposed research utilizes	novel	laboratory models that are available only at UNC and are
269	10190641	raised numerous questions regarding long - term sequalae of the	novel	SARS - CoV - 2 virus on late life clinical
270	10222232	RFA-CA - 20-039 , through the development and validation of	novel	assays that simultaneously measure innate and adaptive immune responses to
271	10212766	. ) . Through these studies , we will develop	novel	insights into the molecular programming and heterogeneity of the human
